时间,蓝牙连接保持情况,蓝牙连接时长,蓝牙连接保持时长
2023-12-18-21_01_45,蓝牙连接保持时长达标>15min,4.364742279052734,976.7703833580017
2023-12-18-21_16_54,蓝牙连接保持时长达标>15min,3.248297691345215,900.3302240371704
2023-12-18-21_32_03,蓝牙连接保持时长达标>15min,3.2969441413879395,900.389910697937
2023-12-18-21_47_13,蓝牙连接保持时长不达标,4.652859687805176,899.8596818447113
2023-12-18-22_02_22,蓝牙连接保持时长达标>15min,3.343681812286377,900.4585244655609
2023-12-18-22_17_32,蓝牙连接保持时长达标>15min,4.612469911575317,900.661345243454
2023-12-18-22_32_41,蓝牙连接保持时长不达标,3.336452007293701,899.7897157669067
2023-12-18-22_47_52,蓝牙连接保持时长达标>15min,6.746634483337402,900.4329941272736
2023-12-18-23_03_04,蓝牙连接保持时长达标>15min,6.788518905639648,900.025069475174
2023-12-18-23_18_14,蓝牙连接保持时长达标>15min,5.4973671436309814,900.2077941894531
2023-12-18-23_33_23,蓝牙连接保持时长达标>15min,3.3892180919647217,900.2407035827637
2023-12-18-23_48_32,蓝牙连接保持时长达标>15min,3.3570165634155273,901.181619644165
2023-12-19-00_03_42,蓝牙连接保持时长不达标,4.532118797302246,899.6781761646271
2023-12-19-00_18_51,蓝牙连接保持时长达标>15min,3.31246280670166,900.7455129623413
2023-12-19-00_34_02,蓝牙连接保持时长达标>15min,5.82920503616333,900.3075702190399
2023-12-19-00_49_14,蓝牙连接保持时长不达标,7.559110641479492,899.3831839561462
2023-12-19-01_04_24,蓝牙连接保持时长不达标,4.46929931640625,899.98601603508
2023-12-19-01_19_33,蓝牙连接保持时长达标>15min,4.295815944671631,900.3450937271118
2023-12-19-01_34_43,蓝牙连接保持时长不达标,4.605781555175781,899.6400706768036
2023-12-19-01_49_53,蓝牙连接保持时长达标>15min,5.500996351242065,900.2644441127777
2023-12-19-02_05_02,蓝牙连接保持时长达标>15min,3.313241481781006,900.1202461719513
2023-12-19-02_20_10,蓝牙连接保持时长达标>15min,3.2557690143585205,900.7616755962372
2023-12-19-02_35_19,蓝牙连接保持时长达标>15min,3.341838836669922,901.0288507938385
2023-12-19-02_43_26,蓝牙连接保持时长不达标,4.47297477722168,476.5889937877655
2023-12-19-02_46_46,蓝牙连接保持时长不达标,34.739524364471436,159.48594617843628
2023-12-19-03_01_58,蓝牙连接保持时长达标>15min,7.600961923599243,900.3375153541565
2023-12-19-03_17_07,蓝牙连接保持时长达标>15min,3.3641457557678223,900.4262871742249
2023-12-19-03_32_15,蓝牙连接保持时长达标>15min,3.3933768272399902,900.3497123718262
2023-12-19-03_47_24,蓝牙连接保持时长达标>15min,3.3699302673339844,900.4956901073456
2023-12-19-04_02_32,蓝牙连接保持时长不达标,3.2813796997070312,899.731787443161
2023-12-19-04_17_41,蓝牙连接保持时长不达标,3.2854511737823486,899.6964032649994
2023-12-19-04_32_50,蓝牙连接保持时长达标>15min,3.3182897567749023,901.163236618042
2023-12-19-04_47_59,蓝牙连接保持时长达标>15min,4.505676507949829,900.3609335422516
2023-12-19-05_03_08,蓝牙连接保持时长不达标,3.333406925201416,899.830911397934
2023-12-19-05_18_17,蓝牙连接保持时长达标>15min,3.2853097915649414,900.8179891109467
2023-12-19-05_33_25,蓝牙连接保持时长达标>15min,3.3204400539398193,900.7345545291901
2023-12-19-05_45_48,蓝牙连接保持时长不达标,11.621056318283081,725.7688097953796
2023-12-19-05_50_47,蓝牙连接保持时长不达标,4.432070016860962,289.0649993419647
2023-12-19-06_06_02,蓝牙连接保持时长不达标,9.701444149017334,899.8629291057587
2023-12-19-06_21_12,蓝牙连接保持时长不达标,4.492502689361572,899.9964520931244
2023-12-19-06_36_21,蓝牙连接保持时长不达标,4.539474725723267,899.6458277702332
2023-12-19-06_51_31,蓝牙连接保持时长达标>15min,4.490168571472168,900.2447786331177
2023-12-19-07_06_39,蓝牙连接保持时长达标>15min,3.273314952850342,900.6193165779114
2023-12-19-07_21_48,蓝牙连接保持时长达标>15min,3.3212435245513916,901.0290915966034
2023-12-19-07_36_57,蓝牙连接保持时长达标>15min,3.2205746173858643,900.4812524318695
2023-12-19-07_52_05,蓝牙连接保持时长不达标,3.3242900371551514,899.5975768566132
2023-12-19-08_07_13,蓝牙连接保持时长达标>15min,3.1861965656280518,900.0239765644073
2023-12-19-08_22_22,蓝牙连接保持时长不达标,4.292789697647095,899.4609289169312
2023-12-19-08_37_31,蓝牙连接保持时长达标>15min,3.2571794986724854,900.1281442642212
2023-12-19-08_52_38,蓝牙连接保持时长达标>15min,3.1880149841308594,900.0427167415619
2023-12-19-09_07_48,蓝牙连接保持时长不达标,4.404052257537842,899.4890398979187
2023-12-19-09_22_58,蓝牙连接保持时长达标>15min,4.505016088485718,901.128674030304
2023-12-19-09_38_08,蓝牙连接保持时长达标>15min,4.513919353485107,900.0032269954681
2023-12-19-09_53_18,蓝牙连接保持时长达标>15min,5.45804238319397,900.0484402179718
2023-12-19-10_08_27,蓝牙连接保持时长达标>15min,4.383817672729492,900.1684093475342
2023-12-19-10_23_39,蓝牙连接保持时长达标>15min,6.581108331680298,900.9971628189087
