时间,测试次数,测试结果,直播加载时长,直播保持时长
2023-12-19-22_27_13,0,直播成功,2.2912027835845947,502.31086134910583
2023-12-19-22_35_54,1,直播成功,4.342340469360352,502.11674332618713
2023-12-19-22_44_37,2,直播成功,4.369343042373657,502.68791604042053
2023-12-19-22_53_19,3,直播成功,5.40418815612793,502.0461847782135
2023-12-19-23_02_01,4,直播成功,4.400377988815308,502.16530084609985
2023-12-19-23_10_43,5,直播成功,4.337422609329224,502.64432883262634
2023-12-19-23_19_25,6,直播成功,4.362835884094238,502.5527882575989
2023-12-19-23_28_10,7,直播成功,7.497937440872192,502.71518325805664
2023-12-19-23_36_51,8,直播成功,3.2960503101348877,502.8513879776001
2023-12-19-23_45_33,9,直播成功,4.457285165786743,502.4051330089569
2023-12-19-23_54_16,10,直播成功,5.337806463241577,502.4727029800415
2023-12-20-00_02_56,11,直播成功,4.337337493896484,501.4967267513275
2023-12-20-00_11_39,12,直播成功,5.329549789428711,501.88873505592346
2023-12-20-00_20_21,13,直播成功,5.361716032028198,502.3261640071869
2023-12-20-00_29_06,14,直播成功,6.438320875167847,503.0762040615082
2023-12-20-00_37_49,15,直播成功,5.330613374710083,502.21190094947815
2023-12-20-00_46_32,16,直播成功,5.3646016120910645,502.6125147342682
2023-12-20-00_55_15,17,直播成功,6.542612075805664,502.0278911590576
2023-12-20-01_03_56,18,直播成功,4.3501362800598145,502.00936579704285
2023-12-20-01_12_39,19,直播成功,5.420698404312134,502.5732669830322
2023-12-20-01_21_23,20,直播成功,6.459579229354858,502.27226305007935
2023-12-20-01_30_08,21,直播成功,6.487370014190674,502.97801899909973
2023-12-20-01_38_50,22,直播成功,5.431396245956421,502.4050416946411
2023-12-20-01_47_33,23,直播成功,5.38049840927124,502.36174178123474
2023-12-20-01_56_16,24,直播成功,5.3811194896698,502.53729820251465
2023-12-20-02_04_58,25,直播成功,5.341189384460449,501.9256808757782
2023-12-20-02_13_41,26,直播成功,5.387947082519531,501.9032437801361
2023-12-20-02_22_23,27,直播成功,5.431875228881836,502.341992855072
2023-12-20-02_31_06,28,直播成功,5.402176856994629,502.42904353141785
2023-12-20-02_39_51,29,直播成功,6.42093563079834,503.0044357776642
2023-12-20-02_48_36,30,直播成功,5.409729719161987,505.1054468154907
2023-12-20-02_57_21,31,直播成功,6.433606147766113,503.41680240631104
2023-12-20-03_06_03,32,直播成功,5.391663074493408,501.6270477771759
2023-12-20-03_14_46,33,直播成功,5.392699956893921,502.6141059398651
2023-12-20-03_23_30,34,直播成功,6.403082847595215,502.7779724597931
2023-12-20-03_32_13,35,直播成功,5.3534018993377686,502.3097791671753
2023-12-20-03_40_55,36,直播成功,5.377769708633423,502.09183406829834
2023-12-20-03_49_38,37,直播成功,5.397598028182983,502.3121612071991
2023-12-20-03_58_21,38,直播成功,5.350728511810303,503.01742672920227
2023-12-20-04_07_04,39,直播成功,5.357344150543213,502.1181492805481
2023-12-20-04_15_47,40,直播成功,6.459609270095825,501.666775226593
2023-12-20-04_24_30,41,直播成功,5.365119934082031,502.7536549568176
2023-12-20-04_33_14,42,直播成功,5.34885835647583,503.3966166973114
2023-12-20-04_41_57,43,直播成功,5.353477954864502,502.6651327610016
2023-12-20-04_50_41,44,直播成功,6.433248996734619,502.32140493392944
2023-12-20-04_59_24,45,直播成功,5.413520097732544,502.7654883861542
2023-12-20-05_08_06,46,直播成功,5.428846597671509,501.6943619251251
2023-12-20-05_16_50,47,直播成功,6.410297393798828,502.6675171852112
2023-12-20-05_25_31,48,直播成功,4.301869630813599,501.52534461021423
2023-12-20-05_34_15,49,直播成功,6.429818391799927,502.61947083473206
2023-12-20-05_42_56,50,直播成功,4.301676988601685,502.32560658454895
2023-12-20-05_51_41,51,直播成功,6.406858444213867,503.57538890838623
2023-12-20-06_00_24,52,直播成功,5.3578081130981445,502.57972168922424
2023-12-20-06_09_08,53,直播成功,5.398793935775757,502.7804777622223
2023-12-20-06_17_51,54,直播成功,5.373776435852051,503.4410979747772
2023-12-20-06_26_35,55,直播成功,4.303462028503418,504.67375683784485
2023-12-20-06_54_04,57,直播成功,6.34508204460144,501.4776577949524
2023-12-20-07_02_45,58,直播成功,4.330589771270752,501.8767297267914
2023-12-20-07_11_29,59,直播成功,6.449084043502808,502.5267369747162
2023-12-20-07_20_11,60,直播成功,5.337969541549683,501.3688488006592
2023-12-20-07_28_54,61,直播成功,5.42822265625,503.18595337867737
2023-12-20-07_37_38,62,直播成功,5.501529216766357,501.9654588699341
2023-12-20-07_46_22,63,直播成功,6.743058204650879,502.05167961120605
2023-12-20-07_55_05,64,直播成功,5.549745798110962,501.74142837524414
2023-12-20-08_03_50,65,直播成功,6.573531866073608,502.77762603759766
2023-12-20-08_12_35,66,直播成功,6.657179117202759,502.16971802711487
2023-12-20-08_21_21,67,直播成功,7.520637035369873,502.56556153297424
